swc_path,soma_region_id,soma_region_name
212064/001.swc,1038,Primary somatosensory area barrel field layer 6a
212064/003.swc,862,Supplemental somatosensory area layer 6a
212064/006.swc,702,Primary somatosensory area nose layer 5
212064/008.swc,862,Supplemental somatosensory area layer 6a
212064/009.swc,648,Primary motor area Layer 5
212064/010.swc,648,Primary motor area Layer 5
212064/011.swc,648,Primary motor area Layer 5
212064/012.swc,648,Primary motor area Layer 5
212064/014.swc,767,Secondary motor area layer 5
212064/015.swc,648,Primary motor area Layer 5
212064/019.swc,844,Primary motor area Layer 6a
212065/001.swc,1070,Primary somatosensory area barrel field layer 5
212065/002.swc,201,Primary somatosensory area barrel field layer 2/3
212065/003.swc,1047,Primary somatosensory area barrel field layer 4
212065/004.swc,862,Supplemental somatosensory area layer 6a
212065/006.swc,862,Supplemental somatosensory area layer 6a
212065/007.swc,113,Primary somatosensory area lower limb layer 2/3
212065/010.swc,844,Primary motor area Layer 6a
212065/011.swc,1101,Agranular insular area dorsal part layer 5
212065/012.swc,783,Agranular insular area dorsal part layer 6a
212065/013.swc,783,Agranular insular area dorsal part layer 6a
212065/014.swc,943,Primary motor area Layer 2/3
212065/015.swc,943,Primary motor area Layer 2/3
212065/016.swc,648,Primary motor area Layer 5
212065/017.swc,201,Primary somatosensory area barrel field layer 2/3
212065/020.swc,1101,Agranular insular area dorsal part layer 5
212065/021.swc,1101,Agranular insular area dorsal part layer 5
212065/022.swc,630,Orbital area lateral part layer 5
212066/003.swc,648,Primary motor area Layer 5
212066/004.swc,943,Primary motor area Layer 2/3
212066/005.swc,943,Primary motor area Layer 2/3
212066/006.swc,844,Primary motor area Layer 6a
212066/007.swc,1090,Supplemental somatosensory area layer 5
212066/008.swc,1090,Supplemental somatosensory area layer 5
212066/009.swc,1090,Supplemental somatosensory area layer 5
212066/010.swc,1090,Supplemental somatosensory area layer 5
212066/011.swc,1070,Primary somatosensory area barrel field layer 5
212066/012.swc,862,Supplemental somatosensory area layer 6a
212066/013.swc,1090,Supplemental somatosensory area layer 5
212066/014.swc,1090,Supplemental somatosensory area layer 5
212066/015.swc,806,Supplemental somatosensory area layer 2/3
212066/016.swc,806,Supplemental somatosensory area layer 2/3
212066/018.swc,806,Supplemental somatosensory area layer 2/3
212066/019.swc,1090,Supplemental somatosensory area layer 5
212066/020.swc,862,Supplemental somatosensory area layer 6a
212067/001.swc,943,Primary motor area Layer 2/3
212067/003.swc,800,Agranular insular area ventral part layer 5
212067/009.swc,943,Primary motor area Layer 2/3
212067/010.swc,328,Agranular insular area dorsal part layer 2/3
212067/011.swc,180,Gustatory areas layer 2/3
212067/012.swc,187,Gustatory areas layer 5
212067/013.swc,320,Primary motor area Layer 1
212067/015.swc,943,Primary motor area Layer 2/3
212067/016.swc,943,Primary motor area Layer 2/3
212067/017.swc,657,Primary somatosensory area mouth layer 2/3
212067/023.swc,1090,Supplemental somatosensory area layer 5
212067/024.swc,806,Supplemental somatosensory area layer 2/3
212067/025.swc,862,Supplemental somatosensory area layer 6a
212067/027.swc,694,Agranular insular area ventral part layer 2/3
212067/028.swc,1101,Agranular insular area dorsal part layer 5
212067/031.swc,328,Agranular insular area dorsal part layer 2/3
212067/034.swc,1101,Agranular insular area dorsal part layer 5
212067/036.swc,638,Gustatory areas layer 6a
212067/037.swc,862,Supplemental somatosensory area layer 6a
212067/038.swc,862,Supplemental somatosensory area layer 6a
212067/039.swc,328,Agranular insular area dorsal part layer 2/3
212068/004.swc,312782550,Anterior area layer 1
212068/005.swc,625,Primary somatosensory area upper limb layer 5
212068/006.swc,484682512,supra-callosal cerebral white matter
212068/007.swc,1102,Primary somatosensory area mouth layer 6a
212068/008.swc,2,Primary somatosensory area mouth layer 6b
212068/009.swc,2,Primary somatosensory area mouth layer 6b
212069/001.swc,1102,Primary somatosensory area mouth layer 6a
212069/002.swc,945,Primary somatosensory area upper limb layer 6a
212069/003.swc,610,Retrosplenial area dorsal part layer 5
212069/004.swc,648,Primary motor area Layer 5
212069/006.swc,854,Primary somatosensory area upper limb layer 2/3
212069/009.swc,1102,Primary somatosensory area mouth layer 6a
212069/011.swc,945,Primary somatosensory area upper limb layer 6a
212069/012.swc,625,Primary somatosensory area upper limb layer 5
212069/016.swc,945,Primary somatosensory area upper limb layer 6a
212069/017.swc,442,Retrosplenial area dorsal part layer 1
212070/002.swc,950,Primary somatosensory area mouth layer 4
212070/003.swc,974,Primary somatosensory area mouth layer 5
212070/006.swc,878,Primary somatosensory area mouth layer 1
212070/007.swc,878,Primary somatosensory area mouth layer 1
212070/010.swc,862,Supplemental somatosensory area layer 6a
212070/012.swc,862,Supplemental somatosensory area layer 6a
212070/014.swc,862,Supplemental somatosensory area layer 6a
212070/016.swc,638,Gustatory areas layer 6a
212070/017.swc,638,Gustatory areas layer 6a
212070/018.swc,638,Gustatory areas layer 6a
212070/019.swc,638,Gustatory areas layer 6a
212070/021.swc,314,Agranular insular area posterior part layer 6a
212070/028.swc,638,Gustatory areas layer 6a
212071/001.swc,862,Supplemental somatosensory area layer 6a
212071/002.swc,862,Supplemental somatosensory area layer 6a
212071/003.swc,1090,Supplemental somatosensory area layer 5
212071/004.swc,1090,Supplemental somatosensory area layer 5
212071/006.swc,1035,Supplemental somatosensory area layer 4
212071/007.swc,1090,Supplemental somatosensory area layer 5
212071/008.swc,1090,Supplemental somatosensory area layer 5
212071/010.swc,1090,Supplemental somatosensory area layer 5
212071/012.swc,1090,Supplemental somatosensory area layer 5
212071/013.swc,520,Ventral auditory area layer 6a
212071/015.swc,201,Primary somatosensory area barrel field layer 2/3
212071/018.swc,201,Primary somatosensory area barrel field layer 2/3
212071/019.swc,201,Primary somatosensory area barrel field layer 2/3
212071/021.swc,201,Primary somatosensory area barrel field layer 2/3
212071/022.swc,1070,Primary somatosensory area barrel field layer 5
212071/024.swc,201,Primary somatosensory area barrel field layer 2/3
212071/025.swc,201,Primary somatosensory area barrel field layer 2/3
212071/026.swc,981,Primary somatosensory area barrel field layer 1
212071/027.swc,201,Primary somatosensory area barrel field layer 2/3
212071/029.swc,201,Primary somatosensory area barrel field layer 2/3
212071/030.swc,981,Primary somatosensory area barrel field layer 1
212071/031.swc,201,Primary somatosensory area barrel field layer 2/3
212071/033.swc,520,Ventral auditory area layer 6a
212071/034.swc,729,Temporal association areas layer 6a
212071/038.swc,201,Primary somatosensory area barrel field layer 2/3
212072/001.swc,862,Supplemental somatosensory area layer 6a
212072/002.swc,862,Supplemental somatosensory area layer 6a
212072/003.swc,862,Supplemental somatosensory area layer 6a
212072/004.swc,862,Supplemental somatosensory area layer 6a
212072/006.swc,857,Visceral area layer 6a
212072/007.swc,862,Supplemental somatosensory area layer 6a
212072/008.swc,1035,Supplemental somatosensory area layer 4
212072/009.swc,806,Supplemental somatosensory area layer 2/3
212072/010.swc,806,Supplemental somatosensory area layer 2/3
212072/011.swc,806,Supplemental somatosensory area layer 2/3
212072/013.swc,1090,Supplemental somatosensory area layer 5
212072/015.swc,1047,Primary somatosensory area barrel field layer 4
212072/017.swc,1047,Primary somatosensory area barrel field layer 4
212072/018.swc,201,Primary somatosensory area barrel field layer 2/3
212072/019.swc,201,Primary somatosensory area barrel field layer 2/3
212072/020.swc,201,Primary somatosensory area barrel field layer 2/3
212072/022.swc,610,Retrosplenial area dorsal part layer 5
212072/023.swc,434,Retrosplenial area dorsal part layer 2/3
212072/024.swc,434,Retrosplenial area dorsal part layer 2/3
212072/025.swc,434,Retrosplenial area dorsal part layer 2/3
212073/001.swc,687,Retrosplenial area ventral part layer 5
